Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,OR,2015,"12        ",Male,17,Left-Handed,84.5,27,190,1,Car,5,.33,50,Lacrosse,500,500,500,500,500,500,27,"Same length",11,11.5,"Ring finger",June,Spring,No,No,Desserts,Juice,Science,8,6,4,"Yes - broadband connection","Text messaging",100,300,6,1,1,4,5,5,5,5,3,4,0,2,"Very little","Undergraduate degree",Country,Fly,Happy,"Business person",Health
USA,MN,2015,"12        ",Female,17,Ambidextrous,163,26,166,3,Bus,20,0.333,48,Athletics,1000,1000,900,1000,900,1000,26,"Same length",16,18,"Ring finger",May,Spring,No,Yes,"Rice/Noodle dishes",Water,"Physical education",5,7,7,"Yes - other","Myspace, Facebook, other social networking sites, or blog",4,4,0,7,5,4,3,0,168,168,168,0,0,28,"Very little","Some college",Gospel,Invisibility,Happy,Friend,Health
USA,NC,2015,"12        ",Female,17,Right-Handed,158,23,155,1,Car,12,.365,41,Other,800,750,790,810,850,900,22,"Right foot",80,90,"Ring finger",September,Summer,Yes,No,"No favorite",Water,"Mathematics and statistics",7,6,3,"Yes - broadband connection","Text messaging",350,400,20,1,10,10,13,0,25,30,40,9,1,5,"A lot","Graduate degree",Pop,Fly,Happy,Other,"Wildlife, animals"
USA,AL,2015,"12        ",Male,18,Right-Handed,166,29,166,2,Car,15,,.829,"Football (American)",1000,800,1000,700,500,1000,29,"Same length",70,70,"Same length",February,Winter,No,No,Poultry,Water,"Mathematics and statistics",6,9,5,"Yes - broadband connection","Text messaging",20,20,49,1,2,49,3,21,56,30,56,5,0,48,"Very little","Graduate degree","Punk rock","Freeze time",Happy,"Business person","Education/Youth development"
USA,CO,2015,"12        ",Female,17,Right-Handed,165.1,19.05,165.1,2,Car,20,,,Golf,500,1000,700,300,1000,1000,19.05,"Same length",75,80,"Ring finger",April,Summer,Yes,Yes,Fruit,Water,Science,7,7,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",10,15,20,2,76,36,3,0,3,2,30,10,25,0,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Happy,"Doctor or nurse",Health
USA,NY,2015,"12        ",Male,17,Right-Handed,168,24,164,1,Car,10,.248,29,"Table Tennis",800,800,700,700,800,900,24,"Same length",100,110,"Ring finger",February,Spring,No,No,Pizza/Pasta,Milk,"Mathematics and statistics",6,10,3,"Yes - broadband connection","Internet chat or instant messaging",3,3,5,1,4,3,2,10,5,1,25,0,12,6,"A lot","Graduate degree",Techno/Electronic,"Freeze time",Happy,Other,Health
USA,CA,2015,"12        ",Female,17,Right-Handed,162.6,,,1,Car,15,0.382,52,Baseball/Softball,1000,1000,70,70,61,81,,"Left foot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Telepathy,Happy,,
USA,IL,2015,"12        ",Male,17,Ambidextrous,170,28,162,1.5,Car,7,.357,42,Baseball/Softball,400,500,600,759,469,569,27,"Right foot",7.5,8,"Ring finger",September,Fall,Yes,No,Meat,Water,"Physical education",7,8,4,"Yes - broadband connection","Cell phone",400,399,24,4,8,40,100,1,1,1,1,1,1,1,Some,Other,Country,"Super strength",Happy,"Sports person","Education/Youth development"
USA,NC,2015,"12        ",Male,17,Right-Handed,80,31,80,2,Car,10,.728,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CO,2015,"12        ",Male,17,Right-Handed,183,26,180,1,Bus,20,0.478,32,Soccer,775,900,727,304,1000,1000,26,"Same length",98,109,"Ring finger",September,Fall,Yes,No,,Water,,7,11,2,"Yes - dial-up connection","Cell phone",9,5,34,1,2,0,18,6,120,12,168,5,0,0,"A lot","Some college","Rap/Hip hop",Telepathy,Famous,Other,Other
USA,WI,2015,"12        ",Male,17,Right-Handed,174,25,173,2,Car,5,.254,40,"Football (American)",400,400,700,600,600,600,25,"Same length",7.75,7.75,"Same length",August,Fall,Yes,No,Seafood,Water,Science,7,9,4,"Yes - broadband connection","Text messaging",6,25,19,.2,3,4,20,8,1,1,4,15,6,4,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,"Business person","Arts, culture, sports"
USA,AL,2015,"12        ",Male,17,Right-Handed,167.6,29,167.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
